timestamp,version
2024-06-06T06:20:00+00:00,3.14
2024-06-06T17:27:00+00:00,3.12
2024-06-07T05:54:00+00:00,3.13
2024-06-07T18:38:00+00:00,3.14
2024-06-08T08:13:00+00:00,3.12
2024-06-08T20:54:00+00:00,3.13
2024-06-09T09:50:00+00:00,3.14
2024-06-09T23:48:00+00:00,3.12
2024-06-10T13:20:00+00:00,3.13
2024-06-10T23:34:00+00:00,3.14
2024-06-11T23:56:00+00:00,3.14
2024-06-12T10:15:00+00:00,3.12
2024-06-12T22:51:00+00:00,3.13
2024-06-13T13:08:00+00:00,3.14
2024-06-14T01:59:00+00:00,3.12
2024-06-14T15:14:00+00:00,3.13
2024-06-15T04:10:00+00:00,3.14
2024-06-15T17:10:00+00:00,3.12
2024-06-16T07:19:00+00:00,3.13
2024-06-16T21:16:00+00:00,3.14
2024-06-17T10:30:00+00:00,3.12
2024-06-18T01:58:00+00:00,3.13
2024-06-18T17:50:00+00:00,3.14
2024-06-19T07:33:00+00:00,3.12
2024-06-19T22:11:00+00:00,3.13
2024-06-20T12:28:00+00:00,3.14
2024-06-21T02:20:00+00:00,3.12
2024-06-21T16:26:00+00:00,3.13
2024-06-22T06:32:00+00:00,3.14
2024-06-22T19:17:00+00:00,3.12
2024-06-23T08:08:00+00:00,3.13
2024-06-23T19:41:00+00:00,3.14
2024-06-24T09:21:00+00:00,3.12
2024-06-25T00:25:00+00:00,3.13
2024-06-25T14:45:00+00:00,3.14
2024-06-26T05:22:00+00:00,3.12
2024-06-26T20:08:00+00:00,3.13
2024-06-27T10:37:00+00:00,3.14
2024-06-28T01:27:00+00:00,3.12
